,名稱,分類,劇情介紹,上映日期
0,玩命關頭9,"['動作', '冒險']","馮迪索飾演的唐老大和莉蒂與他的兒子小布萊恩，正在過著與世隔絕的平靜生活，但是他們都知道這種平靜的生活隨時隨地都會受到致命危機的威脅。這次，這個威脅將逼迫唐老大面對他過去犯下的罪孽，如果他想要拯救他最愛的人們。他的團隊將再度攜手合作，槓上他們遇過最高竿的職業刺客和飆速車手，並且阻止他摧毀全世界的邪惡計畫。這個神秘人物也正好是早就被唐老大切斷兄弟關係的親弟弟雅各（約翰希南 飾）。
 
【關於電影】
曾經執導《玩命關頭》第3集、第4集、第5集和第6集的華裔導演林詣彬回歸執導《玩命關頭9》，他讓這個電影系列成為全球大賣的超級動作鉅片。《玩命關頭9》這部全新系列電影中的動作場面橫跨全球，從倫敦到東京，從中美洲到愛丁堡，然後從位於亞塞拜然的秘密地下碉堡，一直到喬治亞共和國首都提比里斯車水馬龍、熙來攘往的街頭。這一路上，老朋友將起死回生，昔日的敵人將再度回歸，歷史將被重新改寫，而且家庭真正的意義也將受到前所未有的考驗。再度回歸參與這部電影演出的堅強卡司包括蜜雪兒羅卓奎茲、泰瑞斯吉布森、路達克里斯、喬丹娜布魯斯特、娜塔莉艾曼紐、姜成鎬，以及奧斯卡影后海倫米蘭與莎莉賽隆。曾經榮獲葛萊美獎肯定的當紅歌手和超級巨星卡蒂B在《玩命關頭9》一片中將飾演全新角色蕾莎，一個和唐老大的過去有關聯的女子，另外，雷鬼動音樂巨星歐蘇納也在這部電影中客串演出。",2021-08-11
1,血衛,"['動作', '科幻']","★《玩命關頭系列》製作團隊強力打造　場面刺激再創視覺震撼饗宴
★馮迪索化身超級英雄　展現超狂拳拳到肉打鬥場面
 
取材自暢銷漫畫，士兵雷葛瑞森 (馮迪索 飾) 在一次行動中陣亡，死後被帶至RST公司進行試驗，並成功以超人類「血衛」重生。他的血液中存在著㇐批奈米技術大軍，擁有一股不可阻擋的強大威力—不但能帶來比平常更猛的力量，還能夠及時痊癒。但除了他的身體，RST也同時抹去他舊有的記憶，並控制他的思想。雷無法分辨什麼是真實還是捏造的假象，而他的使命，就是要找出真相！",2020-03-12
2,復仇者聯盟：終局之戰,"['動作', '冒險']","復仇者聯盟系列最終章！
灰飛煙毀後的世界該如何走下去，是否還有逆轉結局的機會？一切都將在此揭曉。",2019-04-24
3,復仇者聯盟：無限之戰,"['動作', '冒險']",一部集漫威電影宇宙10年之大成的宏偉鉅作，《復仇者聯盟3：無限之戰》將帶來前所未見，最極致、最致命的存亡對決。復仇者聯盟和他們的超級英雄盟友們必須要不顧一切攜手合作才有可能組止最強的終極反派薩諾斯將整個宇宙毀滅。,2018-04-25
4,星際異攻隊2,"['動作', '冒險']",為全球影迷帶來超級賣座強片《鋼鐵人》、《美國隊長》、《雷神索爾》、《蟻人》、《奇異博士》以及《復仇者聯盟》系列的漫威影業，現在又將推出萬眾期待的另一部續集強片──集合了最受歡迎的星際魯蛇、搞怪一把罩的星際異攻隊。漫威影業《星際異攻隊2》延續2014年暑假賣座冠軍《星際異攻隊》的劇情，「星爵」彼得奎爾和他的怪咖團隊繼續展開充滿火爆動作、桀傲不馴的壯闊太空冒險。上回拯救柴達星之後，他們聲名大噪，成了銀河系熱門人物，一方面收取佣金，同時以不按牌理出牌的方式捍衛宇宙和平。在「勁爆舞曲大帝國第二集」的歌聲中，本片的故事描述星際異攻隊在努力維繫他們這個新「家庭」之餘，同時也在廣闊的宇宙中四處飛行，希望解開彼得奎爾的身世之謎。隨著漫威電影宇宙持續擴大，舊敵人成了新盟友，甚至是經典漫畫中最受粉絲喜愛的人物也會加入陣容，奧援片中英雄的刺激任務。【關於電影】漫威影業《星際異攻隊2》由詹姆斯岡恩（《星際異攻隊》、《活人生吃》）擔任編導，凱文費奇擔任製片。執行製片包括路易斯狄索波西多、薇多莉亞阿隆索、強納森史瓦茲、尼可拉斯科爾達，以及史丹李。本片擔綱主演的強大演員陣容有：克里斯普瑞特（《侏羅紀世界》、《星際異攻隊》）飾演「星爵」彼得奎爾、柔依莎達娜（《星際異攻隊》、《星際爭霸戰：浩瀚無垠》）飾演葛摩菈、戴夫巴帝斯塔（《007惡魔四伏》、《星際異攻隊》）飾演德克斯、馮迪索（《星際異攻隊》、《玩命關頭7》）為格魯特配音、布萊德利庫柏（《翻轉幸福》、《美國狙擊手》）為火箭配音、麥可魯克（《星際異攻隊》、《陰屍路》）飾演勇度、凱倫吉蘭（《星際異攻隊》、《大賣空》）飾演涅布拉、龐克萊門捷夫（《英格麗一路向西》、《復仇》）飾演螳螂女、伊莉莎白戴比基（《大亨小傳》、《聖母峰》）飾演艾雅莎、克里斯蘇利文（《紐約醫情》、《這就是我們》）飾演電槍臉、西恩昆恩（《星際異攻隊》、《奇異果女孩》）飾演克雷林、湯米佛拉納根（《神鬼戰士》、《萬惡城市》）飾演圖力克、蘿拉哈達克（《星際異攻隊》、《路德探長》）飾演梅樂迪奎爾，以及席維斯史特龍（《金牌拳手》、《浴血任務》）飾演史達克，寇特羅素（《八惡人》、《玩命關頭7》）飾演伊果。導演詹姆斯岡恩的創意團隊還包括攝影指導亨利布拉罕（《泰山傳奇》、《黃金羅盤》）、製作設計師史考特錢布利斯（《星際爭霸戰：浩瀚無垠》、《明日世界》）、剪輯師佛瑞德拉斯金（《八惡人》、《星際異攻隊》）與克雷格伍德（《星際異攻隊》、《明日世界》）、三度入圍奧斯卡金像獎的服裝設計師茱迪安娜馬可夫斯基（《美國隊長3：英雄內戰》、《哈利波特：神祕的魔法石》）、曾入圍奧斯卡金像獎的視覺效果總監克里斯多福陶森（《復仇者聯盟：奧創紀元》、《鋼鐵人3》）、特技統籌湯瑪斯羅賓森哈波（《神鬼奇航：死無對證》、《美國隊長2：酷寒戰士》），以及六度入圍奧斯卡金像獎的特效總監丹蘇迪克（《美國隊長3：英雄內戰》、《復仇者聯盟》）。從漫畫書到賣座鉅片《星際異攻隊》誕生於1969年，原創人阿諾德雷克與金恩科倫將他們設定為一個西元31世紀的英雄團隊──每個成員都是經過大風大浪的倖存者。在漫威電影宇宙進入第二階段的擴張計畫時，《星際異攻隊》是漫威基礎核心角色以外最早推出的一個系列。這部電影在調性與風格上也與先前的漫威電影系列都不一樣。充滿獨特原創性的《星際異攻隊》一推出，旋即橫掃全球票房，觀眾極為喜愛這些古怪的星際人物。編導詹姆斯葛恩回想起在2014年夏天，自己看見這些角色成為轟動一時的流行文化現象時的反應。「《星際異攻隊》的人物讓世界各地那麼多人產生如此熱烈的迴響，讓我感到既開心又滿足。」葛恩表示，「在影片的核心中，『星際異攻隊』是一群非主流人物，他們聚在一起，設法找到彼此合作的方式。我認為這就是引起廣大觀眾產生共鳴的地方。當小孩子跑來說他們多喜歡這部電影，他們的父母和爺爺奶奶也很喜歡的時候，感覺真的非常棒。這表示從泰國、南美洲到倫敦，世界各地的不同世代都能被這些角色感動。」原班人馬強勢回歸當演員們回來演出多樣、獨特、搞怪的星際異攻隊角色時，一種新的互動形態也隨之誕生。第一集的主題是他們如何成為一家人，《星際異攻隊2》則聚焦在他們成為一家人之後的關係。詹姆斯岡恩解釋說：「這部電影講的是所有角色形成一個大家庭之後的情形。成為一家人之後的互動，跟變成一家人的過程有許多不同之處。它的故事顯得複雜許多。在第一集裡，一堆角色都是魯蛇，然後聚在一起。但是接下來呢？」這正是各個角色的關係逐漸發展時，觀眾會發現的東西。先是從彼得奎爾（星爵）開始，他被迫要解開自己所面臨的一個家庭問題──他親生父母的身分。克里斯普瑞特再度擔綱演出這個讓他一舉成為漫威英雄以及票房巨星的角色。對於我們在續集開頭會看到普瑞特這個角色有什麼變化，詹姆斯葛恩表示：「它基本上就是第一集的延續。不過，此時彼得奎爾已經擔負起領導者的角色，責任與義務更重，因為在上一集的結尾，星爵的頭銜終於獲得大家的認同。」導演補充：「第一集是關於彼得和他母親的關係，以及他逐漸接受那樣的狀況。第二集則著重在彼得奎爾和他父親，以及生命中其他宛如父親的人物的關係。」柔依莎達娜再度擔綱演出危險的綠皮膚刺客葛摩菈一角，這又是另一個必須面對家庭問題的角色，而她的養父是薩諾斯，妹妹則是涅布拉。「在第一集中，葛摩菈似乎是好人，涅布拉則是壞蛋，幾乎算是惡棍。」執行製片路易斯狄索波西多解釋，「在本片中，我們得知她們的關係其實更複雜。葛摩菈開始接受自己的罪過、她的恐懼，還有她總是拒人與千里之外的問題，而這其實是本片的重心之一。」戴夫巴帝斯塔再度回歸，飾演體型壯碩、渾身刺青的德克斯。德克斯是一個複雜的角色，既嚇人又可愛，雖然心思單純、傻呼呼的，但他卻自得其樂。「我認為觀眾之所以喜歡德克斯，是因為他們非常瞭解他的個性。」執行製片強納森史瓦茲解釋說，「他毫無心機，也不怎麼有幽默感，但是說出來的話卻因此顯得非常好笑。我們會在本片中看到以一種十分有趣的方式演變，因為他十分盡力改善自己傻氣的個性。這一點他表現得不太好，因此又讓他做的每件事都多了一點不同的面向。」如果談到配音，導演詹姆斯岡恩比任何人都更瞭解火箭，因為他曾經多次坦承，這個角色有一點自己的影子。曾經慘遭分解、然後又被組裝回去的火箭是一隻飽受凌虐的小野獸，這次他依然極為搞笑，有時又令人感動，尤其，曾入圍奧斯卡金像獎的布萊德利庫柏又再度擔任幕後配音。在《星際異攻隊》以永遠不變的「我是格魯特」台詞搶盡鋒頭的，是睿智、老成、會說話的樹人格魯特，幫他配音的則是馮迪索。儘管外表獨特，溝通能力極為有限，但格魯特卻以那短短五個字擄獲了全球觀眾的心。這個角色是火箭和星際異攻隊成員的堅定盟友與忠心好友，在上一集犧牲了生命，續集中則以小格魯特的身分再度回歸。再度由馮迪索配音的小格魯特是一個完全不同的角色。「他沒有格魯特原本的記憶，而且是個嬰兒。」葛恩解釋，「他十分可愛，不過脾氣暴躁的問題比格魯特還嚴重。其他角色對小格魯特的反應各不相同。德克斯不喜歡他。 火箭常吼他，不過他覺得還好。葛摩菈在他身上充分發揮了母愛，奎爾則幾乎不把他當一回事。」《星際異攻隊2》不但呈現彼得奎爾發現親生父親伊果之後的旅程，同時也訴說他養父勇度的故事；後者由麥可魯克飾演。「勇度的角色極為重要，我們在第一集佈了很多線索，讓觀眾瞭解勇度這個人。」詹姆斯葛恩解釋，「我對那種亦正亦邪、具有多面性格的角色十分著迷。麥可魯克是飾演這類角色的最佳人選，因為你不知道他會出拳揍你，還是張開雙臂擁抱你，而這也是精彩的地方。他生動詮釋了勇度這種性格，這個人既瘋狂，又充滿人性。這一點我們在第一集結尾時就看到了，當時他被彼得奎爾騙了，但是仍然為他驕傲。在許多方面，彼得奎爾和勇度的友誼可說是本片最重要的關係。」片中另一個重要性提高許多的角色是與葛摩菈誓不兩立的妹妹涅布拉，由凱倫吉蘭飾演。涅布拉是個超級大壞蛋，除非摧毀葛摩菈以及任何妨礙她的人事物，否則她絕不善罷干休。彼得奎爾的父親伊果是《星際異攻隊2》幾個新登場的角色之一。伊果是一顆活體星球，經常在星際間探險，長久以來不斷尋找兒子彼得奎爾。這個關鍵角色，劇組請來知名度高、廣受影迷喜愛的寇特羅素擔綱演出。另一個加入《星際異攻隊》系列的新角色是伊果的僕人兼助理、在漫威漫畫中頗受歡迎的螳螂女。在選角時，劇組面試了許多女演員，最後龐克萊門捷夫雀屏中選，這也是她到目前為止最吃重的一個角色。在本片的開場戲中，我們看到星際異攻隊為阿耶莎出任務。後者渾身金黃色，是經過基因改造的「至高族」的大祭司。艾雅莎一角，劇組選中美艷的澳洲女演員伊莉莎白戴比基，她190公分的身高正好適合演出那個全是俊男美女的星球的領袖。在《星際異攻隊2》中，最引人注目的莫過於「破壞者」所處的那個呈現世界末日風格的殘酷世界。勇度是最令人害怕也最受尊敬的破壞者之一，他的左右手是從小就是破壞者、忠心耿耿的克雷林，由西恩昆恩飾演。「我們在片中深入認識了克雷林，他最後在《星際異攻隊2》裡也成為一個不可或缺的角色。」導演詹姆斯葛恩說，「克雷林是本片極為重要的一個角色，而且讓人相當感動。」對於克雷林和其他破壞者來說，領導並煽動大家起而反抗勇度的是電槍臉，一個體型高大、骨子裡惡毒又兇狠的角色。劇組找了許多才華洋溢的演員，最後選中克里斯蘇利文演出。除了電槍臉這個新角色，其他破壞者還包括勇度的好友圖力克，由湯米佛拉納根飾演，以及史達克，演出這角色的則是曾入圍奧斯卡金像獎的傳奇電影演員及導演席維斯史特龍。史特龍加入《星際異攻隊2》陣容令人高度期待，劇組十分興奮能請到這位備受喜愛的好萊塢代表性人物，成為本片優異演出陣容的一員。演技出眾的蘿拉哈達克再度回鍋飾演彼得奎爾的母親梅樂迪奎爾，使得本片演員陣容更加堅強。,2017-04-26
5,玩命關頭8,"['動作', '冒險', '劇情']",★《玩命關頭》系列全票房狂掃19億新台幣！2015年上映的《玩命關頭7》成為影史中少數最快突破全球票房10億美元的賣座鉅片，並且成為全球影史票房排行榜第六名，台灣影史票房第三名，這個廣受全球觀眾歡迎和喜愛的電影系列即將推出全新作品《玩命關頭8》。故事描述這個全球趴趴走的團隊在大戰後似乎終於能夠回歸正常平靜的生活：唐老大和莉蒂正在二度蜜月，布萊恩和蜜雅則退出江湖，而所有的成員的犯罪紀錄也全獲撤銷，但是當一名神秘女子（金獎影后莎莉賽隆 飾）將唐老大誘入一個他似乎無法逃脫的犯罪世界，而他也被迫背叛他最親近的家人，他們全都必須面對前所未有的挑戰，並且接受最嚴峻的考驗。從古巴風景優美的海岸線，到紐約市喧鬧的街頭，再到巴倫支海的荒蕪冰原，這個高手如雲的團隊又將跑遍全世界，阻止一個無政府主義者讓全世界陷入一團混亂，並且將凝聚他們這一家人的唐老大帶回家。 《玩命關頭8》這部眾所期待的超級強片，堅強卡司陣容除了馮迪索以外，還有再度回歸的巨石強森、傑森史塔森、蜜雪兒羅卓奎茲、泰瑞斯吉布森、路達克里斯、娜塔莉艾曼紐、艾兒莎巴塔奇以及寇特羅素。新加入的演員除了莎莉賽隆之外，還有史考特伊斯威特以及金獎影后海倫米蘭。導演是蓋瑞葛雷（《衝出康普頓》），製片則包括尼爾摩里茲、麥可福特萊爾以及馮迪索。,2017-04-12
6,限制級戰警：重返極限,"['動作', '冒險', '科幻']",賣座鉅片《限制級戰警》系列續集將於2017年農曆春節震撼登場，這次桑德凱吉（馮迪索 飾）將重出江湖，從極限運動員轉變成政府特工！因致命戰士翔（甄子丹 飾）與他的團隊企圖利用邪惡且無法阻擋的危險武器「潘朵拉盒子」為非作歹，使得桑德凱吉招募了熱愛刺激的新夥伴，組成超越極限的新團隊展開行動，同時他也發現自己將陷入世界各國政府高層間的陰謀與勾當中。《限制級戰警：重返極限》除了保留系列中特有的敏捷機智與狠角色態度外，更會出現史無前例令人目不轉睛、耳目一新的超強動作特效。,2017-01-20
7,比利林恩的中場戰事,"['戰爭', '劇情']",★ 奧斯卡金獎導演李安4年磨一劍最新大作★ 撼動人心 強勢問鼎2017奧斯卡★ 挑戰觀影極限 影史超規格領先攝製改編自廣受好評的暢銷小說《半場無戰事》，主角為一位19 歲美國士兵比利（新生代演員喬艾文），他在傷亡慘重的伊拉克戰爭與戰友凱旋歸來並被譽為美國英雄，而電影通過倒敘的手法，藉由一場感恩節足球公開賽的中場表演過程，揭露這群士兵們在戰場上的真實經歷，並將伊拉克殘酷戰爭和戰後在美國的盛大慶祝，兩者呈現出強烈對比。李安導演此次除再度使用3D影像拍攝，更採用每秒120格4K最新拍攝與放映技術，把戰爭場面拍攝得出神入化。本片是電影史上第一部採用此技術的電影！,2016-11-11
8,獵巫行動：大滅絕,['動作'],★馮迪索超越從影極限，挑戰地表最強女巫獵人，再創影壇動作代表作！★《玩命關頭》製片群和《300壯士》原班團隊聯手打造年度動作鉅作！★《復仇者聯盟》特效團隊重金操刀，開創史詩冒險動作大作！世上最後一位永生不朽的女巫獵人寇特（馮迪索 飾），背負著世代傳承對抗女巫的命運，在女巫與人類的世紀戰爭之中，他發現邪惡的勢力正蠢蠢欲動，將發動一場大規模的瘟疫攻擊，試圖毀滅全世界的人類，身負消滅邪惡使命重任的寇特，明白這將是他最關鍵的獵巫戰役，然而面對傾巢而出的邪惡女巫，他必須能找出扭轉戰局的關鍵，成功解救全世界……。由《玩命關頭》系列的億萬製片群，與《300壯士》原班團隊聯手打造的這部年度動作鉅作，《獵巫行動：大滅絕》是好萊塢備受期待的得獎優良原創劇本，首次搬上大銀幕，由獅門影業、頂峰娛樂聯手製作，找來商業好手才華洋溢的導演布雷克艾斯納擔任執導工作，更獲得票房巨星馮迪索的青睞，出任片中永生不朽的女巫獵人男主角寇特一角，除此之外，更集結了包括英國老牌男星米高肯恩、伊利亞伍德以及超紅影集《冰與火之歌：權力遊戲》的美麗女星蘿絲萊斯莉攜手主演，此外本片更重金找來《復仇者聯盟》原班特效親手操刀磅礡震撼的特效場面，打造年底壓軸最強動作強檔鉅片！,2015-10-21
9,玩命關頭7,['動作'],我沒有朋友，我只有家人這句話是《玩命關頭》系列的縮影，可以套用到出生入死的劇中團隊，還有陣容堅強的劇組人員，大家前後合作了七部電影，感情不亞於任何血緣關係。《玩命關頭》15年前開拍，任誰都沒想到洛杉磯起家的街頭車手傳說，會變成全球最流行、最不敗的動作續集電影。 《玩命關頭7》這次七度狂飆，堪稱是特技最強、場面最大、抱負最高的一集。對於《玩命關頭》大家庭的一員來說，無論是幕前幕後的工作人員，或是大螢幕前的熱情粉絲，《玩命關頭7》都是獨一無二。 2000年《玩命關頭》只是小成本電影，當時那些演員尚不成氣候，但逐漸嶄露頭角。這部動作冒險鉅片的靈感，來自於Vibe雜誌關於街頭賽車俱樂部的報導。《玩命關頭》敘述洛杉磯東部一個非法賽車團體的英雄事跡，這群人玩起渦輪增壓賽車沒在怕的，他們遊走法律邊緣的玩命飆車人生，讓《玩命關頭》成為2001年暑假票房黑馬，全球賺進2.07億美元。每一集《玩命關頭》都比前一集吸引到更多觀眾，更成功燃起死忠影迷的熱情，創下24億美元的票房佳績，這是環球影業最賣座的原創續集電影，不僅帶來最多的利潤，也樹立不敗的電影主題。在社群網站吸睛能力更是驚人，電影和演員粉絲專頁的追蹤人數，超越任何動作續集電影。《玩命關頭》以家庭為核心，榮登經典動作電影寶座，其冒險旅程和情感深度總是超越觀眾的期待，玩命團隊的足跡遍佈世界各地，包括日本、墨西哥、多明尼加共和國、巴西、加納利群島和英國，完成幾乎不可能的任務。在《玩命關頭7》，玩命團隊再度啟程，來個最後的終極狂飆，動作冒險和情感釋放都將超越以往。馮迪索、保羅沃克、巨石強森、蜜雪兒羅卓奎茲、泰瑞斯吉布森、路達克里斯和喬丹娜布魯斯特，原班人馬再度重返玩命團隊，就連深獲影迷喜愛的艾兒莎巴塔奇和盧卡斯布萊克也來助陣。新一集更找來傑森史塔森、寇特羅素、娜塔莉艾曼紐、吉蒙哈蘇、龍達魯西和東尼嘉。《玩命關頭7》的故事發生在唐老大（馮迪索 飾）和布萊恩（保羅沃克 飾）重獲自由一年多後，他們擺脫暗無天日的亡命生活，卻發現這個家脫離現實。唐老大忙著和莉蒂（蜜雪兒羅卓奎茲 飾）重新培養感情，布萊恩則努力跟蜜雅（喬丹娜布魯斯特 飾）和兒子適應郊區生活，泰吉（路達克里斯 飾）和羅曼（泰瑞斯喬布森）倒是實現花花公子的夢想，大肆慶祝得來不易的自由。可怕的是，他們都沒發現危機伺伏。英國特種部隊殺手戴克蕭（傑森史塔森 飾），正準備為弟弟歐文蕭（路克伊凡斯 飾）報仇。東京的韓哥（姜成 飾）先遭到謀殺，洛杉磯的哈柏（巨石強森 飾）緊接遭暗算。戴克蕭炸了唐老大的家。那個家是玩命團隊重獲自由後，全家人所重返的避風港。唐老大只好請求美國特種部隊（寇特羅素 飾）的協助。這些英雄們打算重操舊業，為美國政府奪回聰明的追蹤裝置，此裝置可以幫他們找到戴克蕭的下落，以免家人再度遭到毒手。玩命團隊再度出擊，有唐老大、布萊恩、哈柏、莉蒂、羅曼、泰吉和蜜雅，他們在《玩命關頭7》面臨前所未見的威脅，並遠征阿布達比和亞塞拜然，當然還有他們最熟悉不過的戰場—洛杉磯的街頭。《玩命關頭7》加入新導演溫子仁（《厲陰宅》、《陰兒房》）。此外還有製片尼爾摩里茲（《玩命關頭》、《我是傳奇》、《降魔戰警》）、馮迪索（《玩命關頭5》、《玩命關頭》、《狂野時速4》）和麥可福特萊爾（《玩命關頭5》、《終極警探4.0》）。克里斯摩根（《玩命關頭5》、《玩命關頭：東京甩尾》、《刺客聯盟》、《浪人47》)身兼執行製片與編劇，原始角色是由蓋瑞史考特湯普森創造出來的（《玩命關頭》）。執行製片為雅曼達露意絲（《玩命關頭5》、《玩命關頭6》）、 薩曼莎文森特 (《玩命關頭5》、《玩命關頭6》)。我們還要感謝原班幕後團隊，例如攝影師史帝芬溫頓(《玩命關頭5》、《玩命關頭6》)、服裝設計桑佳米爾科維奇黑斯（《玩命關頭》系列、《神鬼傳奇3》）、 車輛統籌丹尼斯麥卡錫（《玩命關頭5》、《玩命關頭6》）、第二拍攝小組的導演史派羅拉薩圖（《玩命關頭6》、《美國隊長：酷寒戰士》）和編曲布萊恩泰勒（《玩命關頭5》、《玩命關頭6》）。此外，也加入新血美術設計比爾布爾澤斯基（《鋼鐵人3》、《醉後大丈夫2》）等人。最後的極速狂飆：緣起《玩命關頭6》殺青後，導演林詣彬揮別了四度合作的《玩命關頭》系列。製片尼爾摩里茲和馮迪索，還有編劇克里斯摩根三人，開始敲定新的導演人選。這個人必須中途加入，監督這部大製作、大名氣和擁有廣大粉絲的系列電影，故事、角色和動作場面都要超越以往，以免熱情粉絲希望落空。澳洲導演溫子仁捧紅不少懸疑片，拍出《奪魂鋸》、《陰兒房》、《厲陰房》等賣座電影，毅然決然接下《玩命關頭7》的導演工作。《玩命關頭》的賣點不外乎強大的角色、源源不絕的創意、充滿戲劇張力的視覺震撼，溫子仁相信自己可以勝任，讓故事情節和動作場面再創高峰。溫子仁急欲參與《玩命關頭7》如此備受關注的電影：「我是《玩命關頭》的粉絲，很開心有機會突破我的戲路，拍攝深受全球影迷喜愛的電影。我對《玩命關頭7》的期許，就是突破自我的極限，拍出不一樣的東西。如此眾望所歸的大片，任誰都無法抗拒」。《玩命關頭5》透露出莉蒂還活著的蛛絲馬跡，廣大影迷恨不得《玩命關頭6》立刻上映，《玩命關頭》系列進而導向意外的劇情發展，結果不失所望。《玩命關頭6》的片尾，不僅確定第七集的走向，也解決大家最常見的疑問：《玩命關頭：東京甩尾》和姜成所飾演的韓哥，在整個系列的定位為何？經過製片巧妙的暗示，《玩命關頭：東京甩尾》並不是番外篇，道盡了唐老大和韓哥的兄弟情誼，巧妙地融入《玩命關頭》的故事軸線。《玩命關頭6》更曝光了前所未見的車手，由動作巨星傑森史塔森飾演，他開著賓士撞飛韓哥的車子。《玩命關頭6》對過去有了交代，更帶出新的故事軸線。這就是《玩命關頭》賣座十多年的原因，故事點和動作場面堪稱爽片的極致，影迷說什麼也要支持到底。馮迪索很重視那些相挺到底的粉絲，大家共同守護了七部電影：「觀眾願意讓我們一部接著一部拍，願意跟隨我們極速狂飆，完全是看在我們的成果。10年來精心策劃的《玩命關頭》系列，沒有天外飛來一筆，一切都會在《玩命關頭7》殊途同歸。影迷的疑問解決了，新故事線出來了。如果這是生命，就像等待發芽的種子。」克里斯摩根長年擔任《玩命關頭》的編劇和執行製片，這是他的五度狂飆。他不斷更新自己的多色便利貼筆記，上面記載著過去的角色、車子和故事點，有時候需要回溯到前面幾集，例如唐老大重要的護身符，那一條十字架項鍊。克里斯摩根說：「一景一物都有意義，這在向《玩命關頭》系列致敬，向支持我們的影迷致敬。」最好的例子就是莉蒂回到唐老大身邊，這對莉蒂來說是難以克服的關卡，她必須拼湊自己的過去，找回自己的情感歸屬…她才有機會跟靈魂伴侶分享未來。饒富興味的故事線，加上備受喜愛的角色，只是《玩命關頭》的一部分賣點。演員和劇組人員更在社群網站，跟死忠粉絲保持密切互動，建立了長達多年的對話管道和深厚關係。多虧了社群網站的互動性，《玩命關頭》每一集的票房屢創新高。《玩命關頭》的觀眾有一個特色：不只關注劇情，也好奇下一次的拍攝地點和車款。馮迪索密切關注《玩命關頭》網頁上的意見，他詢問粉絲最想看到誰重返玩命團隊，結果發現大家對於莉蒂的死哀號遍野。為了報答粉絲的熱情相挺，他也會提供第一手的《玩命關頭》新聞。身兼演員和製片的馮迪索，可說是導演溫子仁的良師益友，溫子仁表示：「在拍攝期間，馮迪索是我的重要夥伴，有了他的協助，我的導演工作更加得心應手。我們很早就開始討論劇中角色和整個系列，包括《玩命關頭》的過去和未來。我們感情很好，大家拍起戲來事半功倍。他很清楚怎麼詮釋唐老大，但依然虛心接受我的導演。真的很感謝他！」,2015-04-01
